id, version, date, weathercitycode, weathertype, high, low, wind, icon, isnight, issuetime
"402881e722964d2c012296549c510033","0","2009-07-21","54759","40% Chance Rain Shower","28","24"," S 14km/h","cond109.gif","false","12:00"
"402881e722964d2c012296549c510034","0","2009-07-22","54759","Hazy","29","24"," SSW 18km/h","cond023.gif","false","12:00"
"402881e722964d2c012296549c510035","0","2009-07-23","54759","Hazy","29","24"," SSW 23km/h","cond023.gif","false","12:00"
"402881e722964d2c012296549c510036","0","2009-07-24","54759","Hazy","29","24"," SSW 21km/h","cond023.gif","false","12:00"
"402881e722964d2c012296549c510037","0","2009-07-25","54759","50% Chance of Rain","29","24"," SSE 19km/h","cond089.gif","false","12:00"
"402881e722964d2c012296549c510038","0","2009-07-26","54759","Hot and Humid","32","25"," SSW 19km/h","cond064.gif","false","12:00"
"402881e722964d2c012296549c510039","0","2009-07-20","54773","Partly Cloudy","28","17"," N 19km/h","cond003.gif","false","12:00"
"402881e722964d2c012296549c51003a","0","2009-07-21","54773","Mostly Cloudy","28","20"," WSW 11km/h","cond024.gif","false","12:00"
"402881e722964d2c012296549c51003b","0","2009-07-22","54773","Partly Cloudy","29","20"," N 31km/h","cond003.gif","false","12:00"
"402881e722964d2c012296549c51003c","0","2009-07-23","54773","Windy","29","18"," N 39km/h","cond050.gif","false","12:00"
"402881e722964d2c012296549c51003d","0","2009-07-24","54773","Mostly Sunny","29","16"," SSE 18km/h","cond026.gif","false","12:00"
"402881e722964d2c012296549c51003e","0","2009-07-25","54773","Partly Cloudy","28","17"," SSW 19km/h","cond003.gif","false","12:00"
"402881e722964d2c012296549c51003f","0","2009-07-26","54773","Partly Cloudy","28","21"," N 29km/h","cond003.gif","false","12:00"
"402881e722964d2c012296549c510040","0","2009-07-20","54780","Rain","27","23"," SSE 27km/h","cond005.gif","false","12:00"
"402881e722964d2c012296549c510041","0","2009-07-21","54780","30% Chance of Storms","31","24"," SSE 16km/h","cond093.gif","false","12:00"
"402881e722964d2c012296549c510042","0","2009-07-22","54780","Hot and Humid","31","24"," SSW 16km/h","cond064.gif","false","12:00"
"402881e722964d2c012296549c510043","0","2009-07-23","54780","Hot and Humid","32","24"," SSW 16km/h","cond064.gif","false","12:00"
"402881e722964d2c012296549c510044","0","2009-07-24","54780","Hot and Humid","32","25"," S 14km/h","cond064.gif","false","12:00"
"402881e722964d2c012296549c510045","0","2009-07-25","54780","Hazy","31","25"," SSE 13km/h","cond023.gif","false","12:00"
"402881e722964d2c012296549c510046","0","2009-07-26","54780","30% Chance Rain Shower","33","26"," SSW 16km/h","cond108.gif","false","12:00"
"402881e722964d2c012296549c510047","0","2009-07-20","54783","Scattered Showers","28","24"," S 27km/h","cond052.gif","false","12:00"
